,County,State,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
0,Autauga,AL,36391,19814,20.0,118.0,12,46.69286362011303
1,Baldwin,AL,141301,78573,50.0,517.0,12,131.71881303033015
2,Barbour,AL,15871,8455,95.0,91.0,12,392.1870077497371
3,Bibb,AL,13245,6668,9.0,71.0,12,34.73612684029087
4,Blount,AL,37352,19562,27.0,125.0,12,65.0567573356005
5,Bullock,AL,6772,3714,68.0,102.0,12,737.436503247582
6,Butler,AL,13161,8277,23.0,150.0,12,188.7394574878894
7,Calhoun,AL,69851,37121,47.0,320.0,12,155.02712917493594
8,Chambers,AL,22474,11472,21.0,50.0,12,33.63887158492763
9,Cherokee,AL,16808,8630,24.0,124.0,12,127.48215135642107
10,Chilton,AL,26080,13870,19.0,98.0,12,51.40490797544041
11,Choctaw,AL,9935,6239,42.0,142.0,12,432.217413185272
12,Clarke,AL,17897,11464,30.0,208.0,12,251.03648656185334
13,Clay,AL,9498,5443,26.0,85.0,12,167.530006316943
14,Cleburne,AL,9635,4867,15.0,64.0,12,71.73845355467385
15,Coffee,AL,30687,16068,30.0,185.0,12,130.21800762533638
16,Colbert,AL,38087,21082,36.0,177.0,12,120.45684879351998
17,Conecuh,AL,9296,4930,33.0,121.0,12,309.2685025814229
18,Coosa,AL,7506,4312,13.0,71.0,12,88.53717026367102
19,Covington,AL,24396,12076,26.0,157.0,12,120.47220855873074
20,Crenshaw,AL,9450,5469,19.0,90.0,12,130.2857142855764
21,Cullman,AL,54465,28902,50.0,208.0,12,137.48278711096347
22,Dale,AL,29544,14352,21.0,117.0,12,59.87814784725837
23,Dallas,AL,29076,15303,30.0,155.0,12,115.1465125876616
24,Dekalb,AL,39369,21679,49.0,295.0,12,264.36028347170003
25,Elmore,AL,52788,29669,30.0,316.0,12,129.30211411682026
26,Escambia,AL,23458,11770,30.0,160.0,12,147.32713786335265
27,Etowah,AL,67705,34930,33.0,265.0,12,92.99756295693184
28,Fayette,AL,11994,7589,28.0,145.0,12,243.721860930262
29,Franklin,AL,17904,9005,41.0,104.0,12,171.47453083100342
30,Geneva,AL,17312,9111,26.0,120.0,12,129.75970425131135
31,Greene,AL,6568,4166,15.0,73.0,12,120.03654080371493
32,Hale,AL,11311,6614,15.0,84.0,12,80.2051100697726
33,Henry,AL,12309,6810,16.0,72.0,12,67.38484036065692
34,Houston,AL,66714,32469,28.0,239.0,12,72.22232215126178
35,Jackson,AL,34708,15851,38.0,189.0,12,148.98697706576326
36,Jefferson,AL,445966,259935,174.0,1614.0,12,453.4020979177683
37,Lamar,AL,9808,5424,26.0,133.0,12,253.84991843367263
38,Lauderdale,AL,58303,31240,32.0,186.0,12,73.50290722603066
39,Lawrence,AL,22950,12130,37.0,186.0,12,215.9058823528471
40,Lee,AL,100963,49208,26.0,478.0,12,88.62811128828496
41,Limestone,AL,59941,33860,26.0,217.0,12,67.77064113043363
42,Lowndes,AL,9399,5079,13.0,59.0,12,58.755186721929185
43,Macon,AL,15301,7257,15.0,114.0,12,80.46532906340731
44,Madison,AL,242009,142492,73.0,697.0,12,151.375857922633
45,Marengo,AL,14277,8821,20.0,89.0,12,89.76675772214766
46,Marion,AL,19207,9976,24.0,121.0,12,108.86031134476552
47,Marshall,AL,55326,27430,30.0,231.0,12,90.1854462639464
48,Mobile,AL,252542,132353,89.0,1605.0,12,407.252655003904
49,Monroe,AL,14942,8974,31.0,141.0,12,210.62240663886317
50,Montgomery,AL,144317,77613,51.0,1399.0,12,355.9613905499452
51,Morgan,AL,75334,39636,40.0,273.0,12,104.36721798920748
52,Perry,AL,7650,4356,20.0,93.0,12,175.05882352918292
53,Pickens,AL,13198,8318,27.0,110.0,12,162.02454917399453
54,Pike,AL,20047,9851,39.0,93.0,12,130.26587519323076
55,Randolph,AL,15848,7669,25.0,150.0,12,170.36850075708583
56,Russell,AL,34373,15080,18.0,265.0,12,99.91563145489195
57,St. Clair,AL,58840,30053,31.0,179.0,12,67.90074779060708
58,Shelby,AL,139626,84284,45.0,378.0,12,87.71432254737027
59,Sumter,AL,8701,5508,25.0,84.0,12,173.7731295251422
60,Talladega,AL,51512,26322,27.0,210.0,12,79.25143655845643
61,Tallapoosa,AL,27948,15822,27.0,134.0,12,93.20738514380521
62,Tuscaloosa,AL,125158,68990,55.0,393.0,12,124.34522763226289
63,Walker,AL,43910,23199,46.0,274.0,12,206.67000683210964
64,Washington,AL,12365,6976,21.0,89.0,12,108.8297614232844
65,Wilcox,AL,8591,4762,37.0,232.0,12,719.413339540543
66,Winston,AL,15031,7694,16.0,90.0,12,68.97744661029274
67,Alaska,AK,571851,285009,605.0,2575.0,12,1961.47248146804
68,American Samoa,AS,8462,8462,45.0,212.0,12,811.7229969264811
69,Apache,AZ,49909,25559,45.0,278.0,12,180.47245987693995
70,Cochise,AZ,70854,45927,18.0,183.0,12,33.47277500211231
71,Coconino,AZ,83239,55948,63.0,351.0,12,191.27284085582585
72,Gila,AZ,29601,20825,21.0,104.0,12,53.12252964425083
73,Graham,AZ,17906,10786,10.0,44.0,12,17.692393611070205
74,Greenlee,AZ,4535,2599,6.0,34.0,12,32.38809261293851
75,La Paz,AZ,10048,5164,9.0,62.0,12,39.98407643308122
76,Maricopa,AZ,2254596,1454103,529.0,3021.0,12,510.3524001639296
77,Mohave,AZ,116346,72545,21378.0,351.0,12,46436.045588155466
78,Navajo,AZ,62671,37172,54.0,284.0,12,176.18866780485772
79,Pima,AZ,557532,393352,244.0,2041.0,12,643.1252017821283
80,Pinal,AZ,202768,118345,97.0,721.0,12,248.3362266235181
81,Santa Cruz,AZ,28238,13668,18.0,89.0,12,40.8470854876263
82,Yavapai,AZ,140108,109551,27.0,249.0,12,34.548776658004215
83,Yuma,AZ,87273,44362,10.0,139.0,12,11.467464164173172
84,Arkansas,AR,8115,5003,8.0,39.0,12,27.682070240261638
85,Ashley,AR,9880,6193,13.0,88.0,12,83.36842105254719
86,Baxter,AR,24889,14508,13.0,134.0,12,50.39334645825449
87,Benton,AR,131687,77929,45.0,404.0,12,99.39933326751316
88,Boone,AR,20255,11684,15.0,85.0,12,45.32214268079718
89,Bradley,AR,4523,2889,15.0,58.0,12,138.49215122675548
90,Calhoun,AR,2832,1780,6.0,48.0,12,73.2203389827923
91,Carroll,AR,13937,9087,8.0,58.0,12,23.970725407172296
92,Chicot,AR,5140,3607,3402.0,59.0,12,28116.14007776631
93,Clark,AR,9700,6801,10.0,60.0,12,44.53608247418089
94,Clay,AR,6682,4185,12.0,58.0,12,74.99551032613739
95,Cleburne,AR,15353,,,,12,
96,Cleveland,AR,4337,2604,14.0,103.0,12,239.3912842973498
98,Conway,AR,9840,6554,24.0,100.0,12,175.6097560973825
99,Craighead,AR,45976,26189,25.0,157.0,12,61.466852270736595
100,Crawford,AR,28786,16950,15.0,98.0,12,36.76787327171654
101,Crittenden,AR,20449,12020,25.0,135.0,12,118.83221673425652
102,Cross,AR,8612,5918,8.0,61.0,12,40.798885276311196
103,Dallas,AR,3632,,,,12,
104,Desha,AR,5865,3582,11.0,60.0,12,81.02301790267515
105,Drew,AR,8466,,,,12,
106,Faulkner,AR,63199,38818,31.0,177.0,12,62.51111568220027
107,Franklin,AR,8285,5312,8.0,41.0,12,28.504526252228718
108,Fulton,AR,6406,3891,15.0,59.0,12,99.46924758023812
109,Garland,AR,53100,32080,30.0,274.0,12,111.45762711862308
110,Grant,AR,9356,,,,12,
111,Greene,AR,17988,11066,14.0,76.0,12,42.588392261483996
112,Hempstead,AR,8671,4395,10.0,82.0,12,68.08903240679496
113,Hot Spring,AR,14958,8794,8629.0,84.0,12,34889.81949456151
114,Howard,AR,5986,3464,8.0,48.0,12,46.187771466678605
115,Independence,AR,17566,,,,12,
117,Jackson,AR,6568,,,,12,
118,Jefferson,AR,32258,20049,40.0,258.0,12,230.34286068564995
119,Johnson,AR,11871,7500,12.0,64.0,12,46.580742987072206
120,Lafayette,AR,3790,,,,12,
121,Lawrence,AR,7140,,,,12,
122,Lee,AR,4158,2143,4.0,28.0,12,19.393939393892754
123,Lincoln,AR,4750,3053,14.0,73.0,12,154.9136842102002
124,Little River,AR,6063,3963,3872.0,31.0,12,14254.171202351552
125,Logan,AR,10965,5596,12.0,81.0,12,63.82489740076259
126,Lonoke,AR,37644,20984,20.0,122.0,12,46.668791839324555
127,Madison,AR,8611,5640,18.0,80.0,12,120.40413424675367
128,Marion,AR,8806,5189,10.0,49.0,12,40.06359300472398
129,Miller,AR,21287,11484,15.0,101.0,12,51.24254239674391
131,Monroe,AR,3744,2722,12.0,75.0,12,173.07692307646082
132,Montgomery,AR,4222,2858,6.0,51.0,12,52.18379914719994
133,Nevada,AR,4744,2516,10.0,65.0,12,98.65092748714449
134,Newton,AR,5764,3094,20.0,80.0,12,199.86120749444854
135,Ouachita,AR,12267,7460,7.0,42.0,12,17.256052824637436
136,Perry,AR,5458,3734,10.0,54.0,12,71.23488457297319
137,Phillips,AR,8778,5653,18.0,71.0,12,104.82570061505487
138,Pike,AR,4794,3263,6.0,33.0,12,29.737171464268382
139,Poinsett,AR,10068,,,,12,
140,Polk,AR,9857,6135,9.0,110.0,12,72.31409150849922
141,Pope,AR,29138,18149,8.0,84.0,12,16.605120461247648
142,Prairie,AR,4340,,,,12,
144,Randolph,AR,8704,,,,12,
145,St. Francis,AR,9301,5918,16.0,90.0,12,111.4718847434561
146,Saline,AR,64231,41849,41322.0,251.0,12,116263.35943701387
147,Scott,AR,4265,2888,27.0,120.0,12,546.9636576774983
148,Searcy,AR,5157,3256,10.0,44.0,12,61.43106457230671
149,Sebastian,AR,58073,33324,,302.0,12,
150,Sevier,AR,5777,3226,10.0,54.0,12,67.30136749166124
151,Sharp,AR,9271,5713,12.0,90.0,12,83.87444720085873
152,Stone,AR,6651,4451,4399.0,83.0,12,39525.52097423015
154,Van Buren,AR,9008,6345,22.0,121.0,12,212.77087033724158
155,Washington,AR,108688,66531,55.0,546.0,12,198.93272486381213
156,White,AR,37036,,,,12,
157,Woodruff,AR,3800,2122,12.0,56.0,12,127.32631578913863
159,Alameda,CA,881491,587501,816.0,4680.0,12,3119.2531744509797
161,Amador,CA,22305,17784,27.0,112.0,12,97.61398789504702
162,Butte,CA,122741,90118,38.0,470.0,12,104.76694828947909
163,Calaveras,CA,29591,21922,17.0,153.0,12,63.28681017874918
164,Colusa,CA,8761,5815,11.0,53.0,12,47.91233877405785
165,Contra Costa,CA,621309,423348,272.0,1917.0,12,604.2489003056353
166,Del Norte,CA,14150,8439,2898.0,63.0,12,9289.984452290255
167,El Dorado,CA,121192,90730,63.0,424.0,12,158.6956234734835
168,Fresno,CA,456891,256972,278.0,1855.0,12,812.6594745792582
169,Glenn,CA,12816,8441,5.0,44.0,12,12.359550561788108
170,Humboldt,CA,78518,53310,59.0,365.0,12,197.4731908606692
171,Imperial,CA,69728,33895,49.0,275.0,12,139.14066085358263
172,Inyo,CA,10028,7371,7.0,94.0,12,47.24371759069879
173,Kern,CA,375759,205816,154.0,1791.0,12,528.4932097434652
174,Kings,CA,52631,30606,25.0,114.0,12,38.988428872710195
175,Lake,CA,32653,21463,23.0,211.0,12,107.00885064156218
177,Los Angeles,CA,5280658,3023417,4174.0,24651.0,12,14029.152669989206
178,Madera,CA,57418,38890,14.0,76.0,12,13.34215751157941
179,Marin,CA,160944,132434,91.0,681.0,12,277.2338204592729
181,Mendocino,CA,49411,33966,23.0,156.0,12,52.28309485740983
182,Merced,CA,97584,57491,57491.0,518.0,12,219727.03885880683
183,Modoc,CA,5118,3497,8.0,26.0,12,29.261430246132747
184,Mono,CA,6628,4922,7.0,48.0,12,36.49969824979406
185,Monterey,CA,187350,117631,86.0,934.0,12,308.69111289029576
186,Napa,CA,78135,57132,16.0,128.0,12,18.871952390091653
187,Nevada,CA,68954,54996,15.0,85.0,12,13.313223308290555
188,Orange,CA,1560111,1106729,993.0,5173.0,12,2370.657010943437
189,Placer,CA,234732,177465,236.0,1699.0,12,1229.8880425335603
191,Riverside,CA,1035957,650545,589.0,2801.0,12,1146.6190971246765
192,Sacramento,CA,765965,523083,158.0,2856.0,12,424.1689372229746
193,San Benito,CA,30064,20592,17.0,164.0,12,66.76955827565634
194,San Bernardino,CA,937316,546041,408.0,3213.0,12,1006.971907019607
195,San Diego,CA,1767300,1173924,1334.0,6374.0,12,3464.0975046681183
196,San Francisco,CA,500051,370439,589.0,2489.0,12,2110.8549327968126
197,San Joaquin,CA,344891,196698,234.0,1561.0,12,762.5518787094833
198,San Luis Obispo,CA,172544,128353,79.0,1279.0,12,421.62880192875895
199,San Mateo,CA,399351,290058,78.0,560.0,12,78.75177475453727
200,Santa Barbara,CA,217417,157697,90.0,958.0,12,285.5268907215036
201,Santa Clara,CA,885764,625462,858.0,4888.0,12,3409.046743827889
202,Santa Cruz,CA,159499,120913,100.0,1002.0,12,452.31631546276446
203,Shasta,CA,101782,70851,85.0,347.0,12,208.64592953565378
205,Siskiyou,CA,27570,18571,17.0,168.0,12,74.58541893359646
206,Solano,CA,231510,47089,94.0,1009.0,12,294.97265776855016
207,Sonoma,CA,275290,213801,187.0,826.0,12,403.98358095098246
208,Stanislaus,CA,248466,159226,114.0,628.0,12,207.45792180820686
209,Sutter,CA,46087,30755,22.0,179.0,12,61.52190422460531
210,Tehama,CA,33286,21147,30.0,164.0,12,106.42312083154889
211,Trinity,CA,7656,5424,6.0,29.0,12,16.36363636361499
212,Tulare,CA,169367,101066,51.0,498.0,12,107.97002958072657
213,Tuolumne,CA,31999,24191,23.0,124.0,12,64.17200537514792
214,Ventura,CA,449549,313167,285.0,1909.0,12,871.3773137077188
215,Yolo,CA,113642,75012,97.0,406.0,12,249.51197620595823
216,Yuba,CA,33754,19643,20.0,144.0,12,61.432719085127275
217,Adams,CO,253203,176459,32.0,229.0,12,20.837667800143723
218,Alamosa,CO,8748,6225,2.0,16.0,12,2.6337448559640673
219,Arapahoe,CO,373596,277268,56.0,522.0,12,56.336363344359775
220,Archuleta,CO,9199,6999,2.0,11.0,12,1.7219262963346864
221,Baca,CO,2582,1973,2.0,18.0,12,10.038729666885986
222,Bent,CO,2568,1948,2.0,2.0,12,1.1214953270984365
223,Boulder,CO,216918,179882,30.0,412.0,12,41.02564102563913
224,Broomfield,CO,45752,36943,6.0,57.0,12,5.382059800663275
225,Chaffee,CO,13464,11211,5.0,14.0,12,3.74331550801861
226,Cheyenne,CO,1237,1038,2.0,8.0,12,9.312853678178554
227,Clear Creek,CO,7035,5492,2.0,34.0,12,6.959488272911216
228,Conejos,CO,4957,3713,2.0,20.0,12,5.809965705051826
229,Costilla,CO,2510,1713,2.0,4.0,12,2.2948207171223314
230,Crowley,CO,1993,1456,2.0,6.0,12,4.335173105848795
231,Custer,CO,3659,2948,2.0,17.0,12,6.690352555324705
232,Delta,CO,20123,15481,5.0,16.0,12,2.862396262981234
233,Denver,CO,420695,315617,60.0,793.0,12,81.43096542625699
234,Dolores,CO,1492,1239,2.0,6.0,12,5.790884718459847
235,Douglas,CO,226015,181079,23.0,152.0,12,11.136959936286923
236,Eagle,CO,31036,22913,8.0,59.0,12,10.94986467327911
237,Elbert,CO,18887,14891,10.0,39.0,12,14.867369089842288
238,El Paso,CO,401237,283332,56.0,529.0,12,53.15880639123378
239,Fremont,CO,27213,20036,4.0,19.0,12,2.010803660014695
240,Garfield,CO,32812,24774,9.0,75.0,12,14.811654272822501
241,Gilpin,CO,4481,3437,2.0,36.0,12,11.568846239652824
242,Grand,CO,10795,7964,4.0,22.0,12,5.869383974056628
243,Gunnison,CO,11490,9052,5.0,34.0,12,10.65274151435104
244,Hinsdale,CO,690,592,2.0,8.0,12,16.69565217367108
245,Huerfano,CO,4761,3724,2.0,18.0,12,5.444234404525427
246,Jackson,CO,986,815,2.0,6.0,12,8.762677484698148
247,Jefferson,CO,393696,311611,36.0,249.0,12,16.39356254572014
248,Kiowa,CO,953,798,2.0,14.0,12,21.154249737448538
249,Kit Carson,CO,4374,3217,2.0,39.0,12,12.839506172810152
250,Lake,CO,4359,3037,2.0,12.0,12,3.964211975214581
251,La Plata,CO,37665,29016,6.0,32.0,12,3.6702508960563733
252,Larimer,CO,233575,183782,23.0,478.0,12,33.889243283740385
253,Las Animas,CO,8845,6475,2.0,18.0,12,2.930469191630378
254,Lincoln,CO,2770,2140,2.0,19.0,12,9.877256317653874
255,Logan,CO,11266,8813,2.0,40.0,12,5.112728563815805
256,Mesa,CO,94625,69282,12.0,49.0,12,4.474081902245234
257,Mineral,CO,749,626,2.0,4.0,12,7.690253671459409
258,Moffat,CO,7782,5502,2.0,10.0,12,1.850424055510344
259,Montezuma,CO,16691,12031,4.0,16.0,12,2.7607692768541368
260,Montrose,CO,25609,19372,5.0,19.0,12,2.6709359990617862
261,Morgan,CO,15198,10958,5.0,26.0,12,6.158705092771312
262,Otero,CO,10959,7649,4.0,10.0,12,2.6279770051988063
263,Ouray,CO,3940,3319,2.0,20.0,12,7.309644670032209
264,Park,CO,12894,9690,4.0,17.0,12,3.797114937177139
265,Phillips,CO,2690,2104,2.0,9.0,12,4.817843866153093
266,Pitkin,CO,12750,10129,4.0,68.0,12,15.359999999987954
267,Prowers,CO,6264,4272,2.0,14.0,12,3.218390804592563
268,Pueblo,CO,100125,68407,12.0,85.0,12,7.334831460673425
269,Rio Blanco,CO,3935,3153,4.0,35.0,12,25.616264294725244
270,Rio Grande,CO,6982,5054,2.0,10.0,12,2.062446290458232
271,Routt,CO,17437,13716,6.0,26.0,12,6.4414750243697645
272,Saguache,CO,3801,2746,2.0,20.0,12,7.576953433287091
273,San Juan,CO,590,472,2.0,4.0,12,9.762711864241309
274,San Miguel,CO,5427,4211,3.0,15.0,12,5.970149253720343
275,Sedgwick,CO,1562,1251,2.0,10.0,12,9.218950063961467
276,Summit,CO,19915,14652,4.0,37.0,12,5.350740647750263
277,Teller,CO,17310,13187,4.0,33.0,12,5.490467937605146
278,Washington,CO,3058,2475,2.0,8.0,12,3.767168083702527
279,Weld,CO,173087,128811,16.0,255.0,12,16.971811863397193
280,Yuma,CO,5482,4257,3.0,21.0,12,8.27435242610676
281,Bethel Town,CT,12642,8752,5.0,30.0,12,8.54295206453999
282,Bridgeport Town,CT,72656,29759,23.0,138.0,12,31.45342435586442
283,Brookfield Town,CT,12120,8286,2.0,12.0,12,1.4257425742562493
284,Danbury Town,CT,41138,23524,7.0,42.0,12,5.145607467547002
285,Darien Town,CT,13813,9837,6.0,36.0,12,11.258958951704003
286,Easton Town,CT,5700,4027,2.0,12.0,12,3.0315789473631027
287,Fairfield Town,CT,38684,27972,10.0,60.0,12,11.167407713780591
288,Greenwich Town,CT,38467,27570,21.0,126.0,12,49.526087295591154
289,Monroe Town,CT,13286,9283,4.0,24.0,12,5.2024687641086835
290,New Canaan Town,CT,14235,9899,3.0,18.0,12,2.731296101157196
291,New Fairfield Town,CT,10201,6417,2.0,12.0,12,1.6939515733734987
292,Newtown Town,CT,17848,13624,4.0,24.0,12,3.8727028238436394
293,Norwalk Town,CT,53641,32762,13.0,78.0,12,13.610484517437481
294,Redding Town,CT,7173,4877,2.0,12.0,12,2.4090338770355375
295,Ridgefield Town,CT,18717,12910,3.0,18.0,12,2.0772559705069846
296,Shelton Town,CT,25202,17952,4.0,24.0,12,2.7426394730566055
297,Sherman Town,CT,2616,1848,1.0,6.0,12,1.6513761467826782
298,Stamford Town,CT,71314,44199,20.0,120.0,12,24.23086630955714
299,Stratford Town,CT,36147,21458,12.0,72.0,12,17.209726948289703
300,Trumbull Town,CT,26345,17181,7.0,42.0,12,8.034921237423408
301,Weston Town,CT,6899,5183,2.0,12.0,12,2.5047108276525516
302,Westport Town,CT,18835,14265,9.0,54.0,12,18.578178922209407
303,Wilton Town,CT,13053,9400,3.0,18.0,12,2.978625603307302
304,Avon Town,CT,13209,9796,3.0,18.0,12,2.9434476493277737
305,Berlin Town,CT,14277,10271,5.0,30.0,12,7.564614414787726
306,Bloomfield Town,CT,14886,10541,6.0,36.0,12,10.44740024183095
307,Bristol Town,CT,35339,21816,10.0,60.0,12,12.224454568603463
308,Burlington Town,CT,6327,4923,1.0,6.0,12,0.6827880512080248
309,Canton Town,CT,7727,5529,1.0,6.0,12,0.5590785557130075
310,East Granby Town,CT,3769,2588,1.0,6.0,12,1.1461926240351652
311,East Hartford Town,CT,29924,15230,1.0,6.0,12,0.14436572650710322
312,East Windsor Town,CT,8497,4443,3.0,18.0,12,4.5757326115045585
313,Enfield Town,CT,24297,15886,9.0,54.0,12,14.401777997277687
314,Farmington Town,CT,19592,12835,6.0,36.0,12,7.937933850547193
315,Glastonbury Town,CT,23871,18055,9.0,54.0,12,14.658791001627641
316,Granby Town,CT,7754,5894,2.0,12.0,12,2.2285272117587973
317,Hartford Town,CT,60391,24098,23.0,138.0,12,37.8414002086341
318,Hartland Town,CT,1538,1085,1.0,6.0,12,2.808842652777576
319,Manchester Town,CT,31497,21420,10.0,60.0,12,13.7155919611348
320,Marlborough Town,CT,4356,3215,1.0,6.0,12,0.9917355371878059
321,New Britain Town,CT,31169,17144,17.0,102.0,12,40.05518303441238
322,Newington Town,CT,19268,13782,7.0,42.0,12,10.986090927957761
323,Plainville Town,CT,11963,7509,4.0,24.0,12,5.777814929360714
324,Rocky Hill Town,CT,12688,8586,3.0,18.0,12,3.064312736441469
325,Simsbury Town,CT,18502,13039,4.0,24.0,12,3.735812344609374
326,Southington Town,CT,29318,20633,5.0,30.0,12,3.683743775153938
327,South Windsor Town,CT,16609,12380,5.0,30.0,12,6.502498645308867
328,Suffield Town,CT,9217,6252,1.0,6.0,12,0.4686991428876329
329,West Hartford Town,CT,41188,30401,2.0,12.0,12,0.4195396717489513
330,Wethersfield Town,CT,17906,12881,10.0,60.0,12,24.125991287823005
331,Windsor Town,CT,22157,14134,7.0,42.0,12,9.55363993319964
332,Windsor Locks Town,CT,8386,5218,2.0,12.0,12,2.0605771523943943
333,Barkhamsted Town,CT,2887,2007,2.0,12.0,12,5.985452026304173
334,Bethlehem Town,CT,2819,2239,1.0,6.0,12,1.5324583185472422
335,Bridgewater Town,CT,1342,1067,1.0,6.0,12,3.219076005937265
336,Canaan Town,CT,712,569,1.0,6.0,12,6.067415730251862
337,Colebrook Town,CT,1078,823,1.0,6.0,12,4.007421150241119
338,Cornwall Town,CT,1051,875,1.0,6.0,12,4.110371075127399
339,Goshen Town,CT,2302,1714,1.0,6.0,12,1.8766290182368524
340,Harwinton Town,CT,4276,3240,2.0,12.0,12,4.041159962572402
341,Kent Town,CT,2073,1583,1.0,6.0,12,2.08393632415782
342,Litchfield Town,CT,5905,4519,4.0,24.0,12,11.705334462300245
343,Morris Town,CT,1841,1283,1.0,6.0,12,2.3465507876026805
344,New Hartford Town,CT,4981,3774,2.0,12.0,12,3.469182894994039
345,New Milford Town,CT,17005,11958,7.0,42.0,12,12.44810349896357
346,Norfolk Town,CT,1153,907,1.0,6.0,12,3.746747614885111
347,North Canaan Town,CT,2366,1396,1.0,6.0,12,1.8258664412433396
348,Plymouth Town,CT,8305,4447,2.0,12.0,12,2.0806742925923167
349,Roxbury Town,CT,1640,1354,1.0,6.0,12,2.634146341447353
350,Salisbury Town,CT,2941,2180,1.0,6.0,12,1.4688881332830028
351,Sharon Town,CT,1692,1373,1.0,6.0,12,2.5531914893466126
352,Thomaston Town,CT,4934,3402,1.0,6.0,12,0.875557357112129
353,Torrington Town,CT,20934,13046,8.0,48.0,12,13.207222699907707
354,Warren Town,CT,1078,774,1.0,6.0,12,4.007421150241119
355,Washington Town,CT,2567,2251,1.0,6.0,12,1.6828983248863152
356,Watertown Town,CT,14517,10233,4.0,24.0,12,4.761314321137451
357,Winchester Town,CT,6066,4246,1.0,6.0,12,0.7121661721056509
358,Woodbury Town,CT,7832,5285,2.0,12.0,12,2.20633299284703
359,Chester Town,CT,2711,2178,1.0,6.0,12,1.593507930647018
360,Clinton Town,CT,10293,6931,2.0,12.0,12,1.678810842318392
361,Cromwell Town,CT,10455,6919,1.0,6.0,12,0.4131994261115129
362,Deep River Town,CT,3606,2401,1.0,6.0,12,1.1980033277836994
363,Durham Town,CT,5333,3921,2.0,12.0,12,3.2402025126509653
364,East Haddam Town,CT,6706,4702,2.0,12.0,12,2.5767968982961875
365,East Hampton Town,CT,8960,6355,1.0,6.0,12,0.48214285714231897
366,Essex Town,CT,5296,4006,2.0,12.0,12,3.2628398791479176
367,Haddam Town,CT,6199,4371,3.0,18.0,12,6.2719793514981905
368,Killingworth Town,CT,4761,3654,1.0,6.0,12,0.9073724007542379
369,Middlefield Town,CT,3484,2364,1.0,6.0,12,1.2399540757714123
370,Middletown Town,CT,27625,18220,14.0,84.0,12,30.650497737545468
371,Old Saybrook Town,CT,8756,5910,2.0,12.0,12,1.9735038830493679
372,Portland Town,CT,6435,4767,1.0,6.0,12,0.6713286713276281
373,Westbrook Town,CT,4999,3486,10.0,60.0,12,86.41728345651848
374,Ansonia Town,CT,9522,6307,7.0,1.0,12,0.5293005671071945
375,Beacon Falls Town,CT,4469,3072,1.0,6.0,12,0.9666592078743194
376,Bethany Town,CT,4207,3110,1.0,6.0,12,1.0268599952435777
377,Branford Town,CT,20818,14328,7.0,42.0,12,10.168123739067072
378,Cheshire Town,CT,19185,14082,9.0,54.0,12,18.23924941359487
379,Derby Town,CT,6595,4323,2.0,12.0,12,2.620166793021046
380,East Haven Town,CT,17668,10464,7.0,42.0,12,11.980982567346626
381,Guilford Town,CT,15701,12553,4.0,24.0,12,4.402267371502195
382,Hamden Town,CT,33814,24787,9.0,54.0,12,10.348376412133925
383,Madison Town,CT,13710,10196,2.0,12.0,12,1.2603938730844197
384,Meriden Town,CT,30338,19029,17.0,102.0,12,41.15235018786962
385,Middlebury Town,CT,5740,3942,1.0,6.0,12,0.7526132404168073
386,Milford Town,CT,37270,24974,9.0,54.0,12,9.388784545208107
387,Naugatuck Town,CT,19651,10906,10.0,60.0,12,21.983614065430775
388,New Haven Town,CT,59148,33899,33.0,198.0,12,79.5374315276798
389,North Branford Town,CT,9797,6628,2.0,12.0,12,1.7638052465022314
390,North Haven Town,CT,17248,12212,5.0,30.0,12,6.261595547306203
391,Orange Town,CT,10407,7618,2.0,12.0,12,1.6604208705662913
392,Oxford Town,CT,8955,6659,1.0,6.0,12,0.4824120603009687
393,Prospect Town,CT,6576,4941,2.0,12.0,12,2.6277372262733762
394,Seymour Town,CT,11099,7345,3.0,18.0,12,3.5030182899328737
395,Southbury Town,CT,14802,10544,12.0,72.0,12,42.026753141438974
396,Wallingford Town,CT,28067,19823,9.0,54.0,12,12.46731036448054
397,Waterbury Town,CT,51826,26944,23.0,138.0,12,44.09524177053137
398,West Haven Town,CT,27700,16222,20.0,120.0,12,62.382671480121886
399,Wolcott Town,CT,12327,7914,3.0,18.0,12,3.154052080795689
400,Woodbridge Town,CT,6431,4877,1.0,6.0,12,0.6717462292012568
401,Bozrah Town,CT,1827,1192,1.0,6.0,12,2.364532019691491
402,Colchester Town,CT,11511,7605,1.0,6.0,12,0.3752931978104636
403,East Lyme Town,CT,12893,9399,7.0,42.0,12,16.41821143254757
404,Franklin Town,CT,1325,976,1.0,6.0,12,3.2603773584659597
405,Griswold Town,CT,7415,4509,2.0,12.0,12,2.330411328385259
406,Groton Town,CT,19403,13160,8.0,48.0,12,14.249342885113514
407,Lebanon Town,CT,4730,3517,1.0,6.0,12,0.9133192388987034
408,Ledyard Town,CT,9065,6406,2.0,12.0,12,1.9062327633735174
409,Lisbon Town,CT,2912,1912,1.0,6.0,12,1.483516483511389
410,Lyme Town,CT,1930,1491,1.0,6.0,12,2.2383419689003197
411,Montville Town,CT,10659,6698,6.0,36.0,12,14.590486912454647
412,New London Town,CT,16335,7048,8.0,48.0,12,16.92561983470038
